algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
Multinomial NB,2.2,58,4,3900,6535,0.13726107160555978,1.533315658569336,0.02243994305074386,1.4000308513641357,0.10415408998791996,1.4637491703033447,int32,0.8666267942583732,0.0,0.0,0.0
Decision Tree,2.2,29,2,3900,816,0.13210560477898542,1.4934000968933105,0.01629157195582759,1.4099221229553223,0.08426025543617348,1.4476912021636963,int32,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
Decision Tree,2.2,30,2,3900,1633,0.1867624135231328,1.4970760345458984,0.028486058139468206,1.4135050773620605,0.061603828490784385,1.4799330234527588,int32,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
AdaBoost,2.3,129,3,3900,8169,0.008648742368492491,1.3977417945861816,2.81871930422117,2.3888046741485596,0.09126496156519777,1.4623758792877197,int64,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
SVM,2.3,18,3,3900,8169,0.014478826756699545,1.3922030925750732,4.127939404558298,1.9077749252319336,0.45716976175048746,1.6424357891082764,int32,0.8666267942583732,0.0,0.0,0.0
Random Forest,2.2,102,0,3900,6535,0.34517868219675873,1.5308070182800293,7.009372841530874,3.9691998958587646,0.5399141598591266,1.517298936843872,int32,0.8833732057416268,0.5760869565217391,0.47533632286995514,0.5208845208845209
Multinomial NB,2.1,47,2,2730,8169,0.02658199172430479,1.3920602798461914,0.03229439689424947,1.3880949020385742,0.1804064837201675,1.4258019924163818,int32,0.8623931623931624,0.0,0.0,0.0
KNN,2.3,84,0,3900,8169,0.037986107834689586,1.3914859294891357,0.017963926791694694,1.3889710903167725,0.9332086370107833,1.7077529430389404,int32,0.8863636363636364,0.6,0.4439461883408072,0.5103092783505154
AdaBoost,2.3,129,1,3900,8169,0.012798488091024917,1.4004971981048584,1.0966199654016566,2.318186044692993,0.13467856031738745,1.4653949737548828,int64,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
Random Forest,2.3,109,3,3900,8169,0.018043868331356773,1.395143985748291,1.7210532027447507,3.67637300491333,0.09430760163365763,1.5136528015136719,float64,0.972488038277512,1.0,0.7937219730941704,0.885
